Cultivar_ID,Cultivar,Cultivar_Alias,Female_ID,Female,Male_ID,Male,Subcollection,State,Country,Year,Pedigree_Original,MG,Stem_Termination,Flower_Color,Pubescence_Color,Pubescence_Form,Pubescence_Density,Pod_Color,Seedcoat_Luster,Seedcoat_Color,Hilum_Color,Other_(Seed),Other_(Leaf),Other_(Plant)
PI 561860,Lancaster,,Z000152,K1047,PI 548597,Mead,Modern,Nebraska,United States,1992,K1047 x Mead.,3,D,P,T,E,N,Tn,D,Y,Bl,,,
PI 590931,CF 492,,Z000153,K1099,PI 518664,Hutcheson,Modern,Kentucky,United States,1995,K1099 x Hutcheson,4,D,W,G,Sa,N,Tn,D,Y,Bf,,,
PI 533655,Burlison,,Z000154,K74-113-76-486,PI 548512,Century,Modern,Illinois,United States,1988,K74-113-76-486 x Century K74-113-76-486 is Tracy x Pomona,2,N,W,T,E,N,Tn,D,Y,Bl,,,
PI 548628,Wayne,,Z000160,L49-4091,PI 548533,Clark,Modern,Illinois,United States,1964,L49-4091 [(F3 Lincoln(2) x Richland) x (F1 Lincoln x CNS)] x Clark,3,N,W,T,E,N,Br,S,Y,Bl,,,
PI 548625,Vinton 81,,Z000162,L60-347-4-4G-2-B,PI 548618,Vinton,Modern,Iowa,United States,1981,L60-347-4-4G-2-B (Harosoy x Higan) x Vinton(5),1,N,P,G,E,N,Tn,D,Y,Y,,,
PI 548543,Oakland,,Z000163,L66L-137,PI 548527,Calland,Modern,Iowa,United States,1978,L66L-137 [Wayne x L57-0034 (Clark x Adams)] x Calland,3,N,P,T,E,N,Br,D,Y,Bl,,,
PI 548523,Pella,,Z000163,L66L-137,PI 548527,Calland,Modern,Iowa,United States,1979,L66L-137 [Wayne x L57-0034 (Clark x Adams)] x Calland,3,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 548549,DeSoto,,Z000164,L66L-140,PI 548538,Columbus,Modern,Kansas,United States,1979,L66L-140 [Wayne x L57-0034 (Clark x Adams)] x Columbus,4,N,P,T,E,N,Br,D,Y,Bl,,,
PI 556780,A3803,,Z000169,L74L-228,PI 556511,Asgrow A3127,Private,,United States,1986,L74L-228 x A3127,3,N,W,T,E,N,Tn,D,Y,Bl,,,
PI 560206,Delsoy 4210,,Z000171,L77-1233,PI 548555,Douglas,Modern,Missouri,United States,1991,L77-1233 x Douglas. L77-1233 from Union x (Williams x PI 88788),4,N,W,T,E,N,Tn,I,Y,Bl,,,
PI 662962,Gardensoy 43,,Z000175,L83-3432,PI 548624,Verde,Modern,Illinois,United States,2002,L83-3432 x Verde,4,D,P,G,E,N,Tn,,Y,Y,,,
PI 662956,Gardensoy 23,,Z000176,L86K-73,PI 548553,Magna,Modern,Illinois,United States,2002,L86K-73 x Magna,2,D,P,G,E,N,Tn,,Y,Y,,,
PI 574534,Piatt,,Z000178,LN78-257,PI 556511,Asgrow A3127,Modern,Illinois,United States,1993,F4 plant sel. from LN78-257 x Asgrow A3127,3,N,W,G,E,N,Tn,D,Y,Bf,,,
PI 593259,Iroquois,,Z000181,LN81-1029,PI 556689,Asgrow A2943,Modern,Illinois,United States,1995,F4 selection from LN81-1029 x Asgrow A2943,3,N,P,G,E,N,Br,I,Y,Ib,,,
PI 593257,LN90-4524,,Z000182,LN86-4668,PI 556814,Asgrow A3733,Modern,Illinois,United States,1995,F4 selection from LN86-4668 x Asgrow A3733,3,D,P,T,E,N,Br,D,Y,Bl,,,
PI 598124,Maverick,,Z000182,LN86-4668,PI 534645,Resnik,Modern,Missouri,United States,1996,Individual F4 selection from LN86-4668 x Resnik.,3,N,P,G,E,N,Br,D,Y,Bf,,,
PI 607380,LS92-1800,,Z000183,LS87-1311,,,Modern,Illinois,United States,1998,Composite of si x sublines selected from LS87-1311 which segregated for flower color,4,N,W,T,E,N,Tn,S,Y,Bl,,,
PI 556857,Asgrow A3935,,Z000184,M0474C,PI 556511,Asgrow A3127,Private,Missouri,United States,1988,M0474C x A3127,3,N,P,T,,,,D,Y,Bl,,,
PI 548508,Anoka,,Z000186,M42-37,PI 548360,Korean,Modern,Minnesota,United States,1970,M42-37 (Lincoln(2) x Richland) x Korean,1,N,P,T,E,N,Br,S,Y,Bl,,,
PI 548582,McCall,,Z000187,M433,PI 548551,Hark,Modern,Minnesota,United States,1978,M433 (Acme x Chippewa) x Hark,0,N,P,G,E,N,Br,D,Y,Y,,,
PI 508084,Sibley,,Z000190,M68-256,PI 548561,Hodgson,Modern,Minnesota,United States,1986,M68-256 x Hodgson M68-256 is from Evans x Steele,1,N,W,G,E,N,Br,D,Y,Y,,,
PI 542042,Kato,,Z000192,M70-127,PI 548512,Century,Modern,Minnesota,United States,1989,M70-127 x Century M70-127 is from Evans x M63-217Y M63-217Y is a yellow hilum near-isogenic sib of 'Hodson',1,N,P,T,E,N,Br,S,Y,Bl,,,
PI 542768,Sturdy,,Z000192,M70-127,PI 548512,Century,Modern,Minnesota,United States,1989,M70-127 x Century,2,N,P,G,E,N,Br,S,Y,Ib,,,
PI 612764,MN0901,,Z000201,M83-766,PI 557011,Leslie,Modern,Minnesota,United States,2000,M83-766 x Leslie,0,N,W,G,E,N,Br,I,Y,Y,,,
PI 539860,SS201,,Z000204,Migro HP20-20,PI 135624,No. 67,Modern,Iowa,United States,1989,Migro HP20-20(3) x PI 135624,2,N,P,G,E,N,Br,D,Y,Y,,,
PI 614832,NE3400,,Z000207,MSBP1,,,Modern,Nebraska,United States,2000,"F6-derived line from the MSBP1 population, an intermated population using ms2 male sterility to facilitate intermating.",3,N,P,G,E,N,Tn,I,Y,Bf,,,
PI 614833,NE1900,,Z000207,MSBP1,,,Modern,Nebraska,United States,2000,"F6-derived line from the MSBP1 population, an intermated population using ms2 male sterility to facilitate intermating",1,N,W,G,E,N,Br,D,Y,Y,,,
PI 508267,Johnston,,Z000210,N70-2173,PI 548662,Hutton,Modern,North Carolina,United States,1983,N70-2173 (Hampton x Ransom) x Hutton,8,D,P,T,Sa,N,Tn,S,Y,Bl,,,
PI 594922,Graham,,Z000214,N77-114,PI 543856,Pixie,Modern,North Carolina,United States,1996,N77-114 x Pi x ie.,5,D,P,G,E,N,Br,D,Y,Lbf,,,
PI 615694,N7001,,Z000214,N77-114,PI 416937,,Modern,North Carolina,United States,2001,F4 selection from N77-114 x PI 416937. N77-114 from Essex  x N70-2173. N70-2173 from Hampton x Ransom. Hampton from Majos (PI 548697) x Lee. Majos from Tokyo (PI 548493) and a selection from Nanda (PI 548474).,7,D,P,G,E,N,Br,D,Y,Ib,,,
PI 572239,Holladay,,Z000215,N77-179,PI 508267,Johnston,Modern,North Carolina,United States,1993,N77-179 x Johnston,5,D,P,G,E,N,Tn,I,Y,Ib,,,
PI 614702,Soyola,,Z000216,N78-2117-3,PI 548986,Brim,Modern,North Carolina,United States,2000,Bulk of an F5-derived line from the first backcross of a selection from the cross N78-2117-3 x Brim to the cultivar Brim.,6,D,W,G,Sa,N,Br,S,Y,Bf,,,
PI 641156,NC-Raleigh,,Z000219,N85-492 ,PI 568262,N88-480,Modern,North Carolina,United States,2005,"F5-derived selection from the cross of USDA breeding line N85-492  and USDA germplasm release N88-480. N85-492 was derived from N77-179 x 'Johnston'. N77-179 was selected from the cross of N70-1549 x N72-3213. N70-1549 was developed from the cross of 'Dare' x D65-6765. D65-6765 was derived from D58-3358 x D59-9289. D58-3358 was derived from 'Jackson'(4) x D49-2491. D49-2491 was a sister line of 'Lee', developed from the cross of 'S-100' x 'CNS'. D59-9289 was developed from the cross of D51-4877 x D55-4168. D51-4877 was derived from the cross of 'Roanoke' x N45-745. N45-745 was derived from 'Ogden' x CNS. D55-4168 was derived from the cross of Ogden x 'Biloxi'. N72-3213 was derived from the cross of D67-B5 x D64-2451. D67-B5 was derived from D62-7816 x Lee. D62-7816 was derived from D49-2491(5) x PI181537. D64-2451 was a sister line of 'Ransom'. The paternal parent of NC-Raleigh was N88-480, an F3 derived breeding line selected from the fourth cycle of a recurrent selection population improvement program for higher seed oil concentration. The parents of the original population were 'Arksoy', Ogden, Lee, Roanoke, D60-8107, Jackson, and N69-2774 (USDA-ARS, 2005e). D60-8017 was derived from the cross of D51-4877 x D55-4168. D51-4877 was derived from Roanoke x N45-745. N69-2774 is the original maintainer source for the male sterile gene of Unknown pedigree",7,D,W,T,E,N,Tn,D,Y,Brbl,,,
